Id.de Torneo;Nombre Torneo;Categoria;Sexo;Fecha Torneo;Club1;Club2;Fase;Categ.;Par;Pais1;Pais2;Jugador 1 Race.Apellidos;Jugador 1 Race.Nombre;Jugador 2 Race.Apellidos;Jugador 2 Race.Nombre;Jugador 3 Race.Nombre;Jugador 3 Race.Apellidos;Jugador 4 Race.Nombre;Jugador 4 Race.Apellidos;Set-1-P1;Set-1-P2;Set-2-P1;Set-2-P2;Set-3-P1;Set-3-P2
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO16P;Gold;2;;;Ayats Delgado;Arnau;Germán Gutiérrez;Cristian;Salvador;Oria Ortega;Alejandro;Arroyo Albert;4;6;1;6;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO16P;Gold;2;;;Bye;Bye;Bye;Bye;Ricardo;Martínez Sánchez;Raúl;Marcos Durán;0;6;0;6;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO16P;Gold;2;;;Luque Aragón;Antonio;Oliveira;Miguel;Bye;Bye;Bye;Bye;6;0;6;0;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO16P;Gold;2;;;Solbes Llorens;Miguel Ángel;Redondo Méndez;Javier;Teodoro Víctor;Zapata Pizarro;José Carlos;Gaspar Campos;6;4;6;3;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO16P;Gold;2;;;Sanz Zalba;Jon;Pérez Morillas;Javier;Diego;Gil Batista;Fran;Ramírez Navas;6;7;7;6;3;6
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO16P;Gold;2;;;Bye;Bye;Bye;Bye;Miguel;Yanguas Díez;Aris;Patiniotis Rojas;0;6;0;6;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO16P;Gold;2;;;Ramírez del Campo;Iván;Coello Manso;Arturo;Bye;Bye;Bye;Bye;6;0;6;0;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO16P;Gold;2;;;Jurado Sosa;Francisco;Menéndez Gil;Jaime;Fernando;Poggi;Miguel;Semmler Arranz;4;6;7;6;7;6
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO16P;Gold;2;;;Rocafort ;Manuel;Vasquez;Simon;Germán;Tamame;Víctor;Sáenz de Navarrete;4;6;6;1;6;7
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO16P;Gold;2;;;Bye;Bye;Bye;Bye;Christian;Fuster Simarro;Denis Tomás;Perino;0;6;0;6;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO8P;Gold;2;;;Valdés González;Javier;Restivo;Juan Manuel;Sergio;Alba Sánchez;Francisco Manuel;Gil Morales;2;6;6;3;3;6
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO8P;Gold;2;;;Sánchez Serrano;José David;Alonso-Martínez;Pedro;Antón;Sans Riola;Íñigo;Zaratiegui Pedrosa;6;1;3;6;4;6
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO8P;Gold;2;;;Gomes;Francisco de Paula;Rocha;Diogo;Mario;del Castillo Marín;Andrés;Britos;1;6;7;5;4;6
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO8P;Gold;2;;;Oria Ortega;Salvador;Arroyo Albert;Alejandro;Ricardo;Martínez Sánchez;Raúl;Marcos Durán;6;3;6;3;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO8P;Gold;2;;;Luque Aragón;Antonio;Oliveira;Miguel;Miguel Ángel;Solbes Llorens;Javier;Redondo Méndez;5;7;6;3;6;2
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO8P;Gold;2;;;Gil Batista;Diego;Ramírez Navas;Fran;Miguel;Yanguas Díez;Aris;Patiniotis Rojas;2;6;6;4;3;6
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO8P;Gold;2;;;Ramírez del Campo;Iván;Coello Manso;Arturo;Francisco;Jurado Sosa;Jaime;Menéndez Gil;6;3;6;4;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO8P;Gold;2;;;Tamame;Germán;Sáenz de Navarrete;Víctor;Christian;Fuster Simarro;Denis Tomás;Perino;0;6;4;6;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO4P;Gold;2;;;Alba Sánchez;Sergio;Gil Morales;Francisco Manuel;Antón;Sans Riola;Íñigo;Zaratiegui Pedrosa;6;7;7;5;6;3
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO4P;Gold;2;;;del Castillo Marín;Mario;Britos;Andrés;Salvador;Oria Ortega;Alejandro;Arroyo Albert;6;1;4;6;6;1
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO4P;Gold;2;;;Luque Aragón;Antonio;Oliveira;Miguel;Miguel;Yanguas Díez;Aris;Patiniotis Rojas;2;6;6;7;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO4P;Gold;2;;;Ramírez del Campo;Iván;Coello Manso;Arturo;Christian;Fuster Simarro;Denis Tomás;Perino;4;6;6;2;6;7
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO16;Gold;2;;;Galán Romo;Alejandro;Lebrón Chincoa;Juan;Ramiro;Moyano Martín;Luciano;Capra;7;6;6;2;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO16;Gold;2;;;Nieto Ruiz;Jorge;Rico Dasi;Javier;Mario;del Castillo Marín;Andrés;Britos;7;6;6;0;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO16;Gold;2;;;Gutiérrez;Agustín;Gutiérrez Albizu;Cristian;Miguel;Yanguas Díez;Aris;Patiniotis Rojas;6;3;6;2;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO16;Gold;2;;;Jardim;Marcello;de Oliveira Campagnolo;Lucas;Javier;Ruiz González;Uri;Botello Cohen;7;6;4;6;5;7
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO16;Gold;2;;;Fernández Cano;Antonio;Grabriel Martínez;Maximiliano;Juan;Mieres Petruf;Javier;Garrido Gómez;1;6;4;6;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO16;Gold;2;;;Moreno Carrasco;Ernesto;Rico Dasi;José;Juan Cruz;Belluati López;Federico;Quiles;6;1;6;1;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO16;Gold;2;;;Sánchez Piñeiro;Martín;Ruiz Granados;Alejandro;Gonzalo;Rubio Pérez;Aday;Santana Ferrero;4;6;4;6;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO16;Gold;2;;;Rivera Serra;Rubén;Bueno Gómez;Toni;Franco;Stupaczuk;Carlos Daniel;Sanyo Gutiérrez;6;7;3;6;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO16;Gold;2;;;Sánchez;Maximiliano;Díaz Sangiorgio;Matías ;Matías;Marina Artuso;Gonzalo;Díaz;6;3;6;1;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO16;Gold;2;;;García Diestro;José Antonio;Ruiz Remedios;Víctor;Javier;González Barahona;Jorge;Ruiz Gutiérrez;6;2;6;3;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO16;Gold;2;;;Fuster Simarro;Christian;Perino;Denis Tomás;Pablo;Lijó Santos;Álvaro;Cepero Rodríguez;6;1;7;6;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO16;Gold;2;;;Martínez Vázquez;Javier;Blanco Antelo;Adrián;Agustín;Tapia;Fernando;Belasteguín;2;6;1;6;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO16;Gold;2;;;Chingotto;Federico;Tello;Juan;Jerónimo;González Luque;Adrián;Allemandi;6;7;3;6;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO16;Gold;2;;;González Gadea;Ignacio;Nerone;Sebastián;Lucas;Bergamini;Miguel;Lamperti;2;6;0;6;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO16;Gold;2;;;Alba Sánchez;Sergio;Gil Morales;Francisco Manuel;Diego;Ramos;Juan Manuel;Vázquez;3;6;6;2;6;2
